Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
CRYSTAL EYE TINT 06 MIDNIGHT SAPPHIRE,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,71829,188000,100,VAT10,inclusive,,,,NL8973,,,,,
SWEET JELLY GLOSS 02 SWEET PEACH,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,26337,70000,100,VAT10,inclusive,,,,NL8776,,,,,
MOIST ANGEL LIP BALM 03 ORANGE TINT BALM (R),8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,79012,205000,100,VAT10,inclusive,,,,NL8047,,,,,
BOTANICAL EYELASH SERUM,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,143659,372000,100,VAT10,inclusive,,,,NM7690,,,,,
BYFLOWER JEJU JJAMBALM 01TANGERINE HONEY BALM,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,39107,102000,100,VAT10,inclusive,,,,NL8050,,,,,
LONGLASTING SMUDGE TINT STICK 06 LADY PLUM,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,55867,145000,100,VAT10,inclusive,,,,NK0336,,,,,
NATUREREPUBLIC MULTIPLE TOUCH STICK 01 LIGHT BEIGE,8.80617E+12,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NK0344,,,,,
NATUREREPUBLIC MULTIPLE TOUCH STICK 10 ALMOND,8.80617E+12,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NK0353,,,,,
CREAMY LIPSTICK 08 BERRY ORANGE(R),8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NL8283,,,,,
BOTANICAL CUSHION BLUSHER 01 PINK,8.80617E+12,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,86993,225000,100,VAT10,inclusive,,,,NK0204,,,,,
GLOW OIL TINT 01JUICY ORANGE,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,70233,182000,100,VAT10,inclusive,,,,NL8263,,,,,
CREAMY LIPSTICK 07 IT'S MY PINK(R),8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NL8282,,,,,
CREAMY LIPSTICK 05 CORALPRESSO(R),8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NL8280,,,,,
ULTRA MASCARA #1 VOLUME,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,47088,122000,100,VAT10,inclusive,,,,NM7691,,,,,
CREAMY LIPSTICK04SALMON ORANGE(R),8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NL8279,,,,,
CREAMY LIPSTICK 02 PINK SOMEDAY(R),8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NL8277,,,,,
KISS MY LIP OIL 02 RASPBERRY,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,79012,205000,100,VAT10,inclusive,,,,NL9094,,,,,
BOTANICAL CUSHION BLUSHER 03 HIGHLIGHTER,8.80617E+12,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,86993,225000,100,VAT10,inclusive,,,,NK0206,,,,,
BOTANICAL WATER PROOF EYELINER 01 BLACK,8.80617E+12,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,43896,115000,100,VAT10,inclusive,,,,NL8073,,,,,
CREAMY LIPSTICK 06 FLASHY PINK(R),8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NL8281,,,,,
ECO CRYON LIP ROUGE 03 PEACH CORAL,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,47886,125000,100,VAT10,inclusive,,,,NM7956,,,,,
ECO LIP GLOSS 04 PINK,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,61454,160000,100,VAT10,inclusive,,,,NL8030,,,,,
ECO LIP GLOSS 01 LATTE,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,61454,160000,100,VAT10,inclusive,,,,NL8033,,,,,
CREAMY LIPSTICK 11 DRY ROSE,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NK0114,,,,,
BYFLOWER TRIPLE VOLUME TINT03MARIGOLD,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,79810,208000,100,VAT10,inclusive,,,,NM7961,,,,,
BOTANICAL STICK HIGHLIGHTER 01 SHINE PINK ,8.80617E+12,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,61454,160000,100,VAT10,inclusive,,,,NK0200,,,,,
PROVENCE MARBLE HIGHLIGHTER 01 BLOOM PEACH,8.80617E+12,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,134879,350000,100,VAT10,inclusive,,,,NL8069,,,,,
PROVENCE MARBLE HIGHLIGHTER 02 BLOOM WHITE,8.80617E+12,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,134879,350000,100,VAT10,inclusive,,,,NL8070,,,,,
ECO CRYON LIP ROUGE 02 BERRY PINK,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,47886,125000,100,VAT10,inclusive,,,,NM7955,,,,,
ECO LIP GLOSS 06 RED,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,61454,160000,100,VAT10,inclusive,,,,NL8028,,,,,
ECO LIP GLOSS 02 PEACH,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,61454,160000,100,VAT10,inclusive,,,,NL8032,,,,,
BYFLOWER TRIPLE VOLUME TINT05CAMELLIA,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,79810,208000,100,VAT10,inclusive,,,,NM7963,,,,,
NATURAL BUTTER LIPBALM 04 MANGO,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,55069,145000,100,VAT10,inclusive,,,,NL8269,,,,,
NATURAL BUTTER LIPBALM 02 STRAWBERRY,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,55069,145000,100,VAT10,inclusive,,,,NL8267,,,,,
NATURAL BUTTER LIPBALM 01 CHERRY,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,55069,145000,100,VAT10,inclusive,,,,NL8266,,,,,
GLOW OIL TINT 02 BABY PEACH,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,70233,182000,100,VAT10,inclusive,,,,NL8264,,,,,
ECO CRYON LIP ROUGE 04 SCARLET ORANGE,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,47886,125000,100,VAT10,inclusive,,,,NM7957,,,,,
ECO CRYON LIP ROUGE 01 CANDY PINK,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,47886,125000,100,VAT10,inclusive,,,,NM7954,,,,,
NATURE ORIGIN CC TINTED SPF30 PA++,8.80617E+12,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,111734,290000,100,VAT10,inclusive,,,,NL8220,,,,,
BOTANICAL GREEN TEA PORE POWDER,8.80617E+12,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,63848,165000,100,VAT10,inclusive,,,,NL8224,,,,,
BOTANICAL CUSHION BLUSHER 02 APRICOT,8.80617E+12,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,86993,225000,100,VAT10,inclusive,,,,NK0205,,,,,
HAIR & NATURE COLORING BUBBLE_3B DEEP CHIC BLACK,8.80617E+12,code128,Nature Republic,Hair Care,pcs,pcs,pcs,71829,188000,100,VAT10,inclusive,,,,NK0801,,,,,
ECO LIP GLOSS 05 ROSE,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,61454,160000,100,VAT10,inclusive,,,,NL8029,,,,,
BYFLOWER TRIPLE VOLUME TINT06ROSE,8.80617E+12,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,79810,208000,100,VAT10,inclusive,,,,NM7964,,,,,
