Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
REAL SQUEEZE ALOE VERA SLEEPING PACK,8806173423576,code128,Nature Republic,Pack,pcs,pcs,pcs,79012,205000,100,VAT10,inclusive,,,,NL8423,,,,,
GREEK YOGURT PACK_BLUE BERRY (ANTI-WRINKLE),8806173429196,code128,Nature Republic,Pack,pcs,pcs,pcs,79012,205000,100,VAT10,inclusive,,,,NL8985,,,,,
HIMALAYA SALT CLEANSING BALM_WHITE SALT,8806173436149,code128,Nature Republic,Cleansing,pcs,pcs,pcs,118917,308000,100,VAT10,inclusive,,,,NK0472,,,,,
SOOTHING & MOISTURE ALOE VERA CLEANSING GEL FOAM ,8806173438914,code128,Nature Republic,Cleansing,pcs,pcs,pcs,35117,92000,100,VAT10,inclusive,,,,NK0748,,,,,
CREAMY LIPSTICK 09 APPLE RED(R),8806173422227,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NL8284,,,,,
FOREST GARDEN LIP&EYE REMOVER WATERPROOF,8806173424979,code128,Nature Republic,Cleansing,pcs,pcs,pcs,63050,165000,100,VAT10,inclusive,,,,NL8575,,,,,
JEJU SPARKLING FOAM CLEANSER,8806173412334,code128,Nature Republic,Cleansing,pcs,pcs,pcs,79012,205000,100,VAT10,inclusive,,,,NM7287,,,,,
JEJU SPARKLING FOAM CLEANSER,8806173426379,code128,Nature Republic,Cleansing,pcs,pcs,pcs,119715,310000,100,VAT10,inclusive,,,,NL8704,,,,,
FOREST GARDEN LIP&EYE REMOVER MILD,8806173424986,code128,Nature Republic,Cleansing,pcs,pcs,pcs,55069,145000,100,VAT10,inclusive,,,,NL8576,,,,,
JEJU SPARKLING MUD CLEANSING CREAM,8806173420032,code128,Nature Republic,Cleansing,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NL8090,,,,,
BOTANICAL ALL DAY TINT EYEBROW 02 LIGHT BROWN,8806173420698,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,70233,182000,100,VAT10,inclusive,,,,NL8134,,,,,
HONEY&HERB MASSAGE CREAM,8806173419555,code128,Nature Republic,Massage,pcs,pcs,pcs,79012,205000,100,VAT10,inclusive,,,,NL8016,,,,,
COLLAGEN DREAM 90 SKIN BOOSTER,8806173425525,code128,Nature Republic,Skin Care,pcs,pcs,pcs,166804,432000,100,VAT10,inclusive,,,,NL8618,,,,,
AQUA COLLAGEN SOLUTION MARINE HYDRO GEL MASK,8806173424351,code128,Nature Republic,Mask Sheet,pcs,pcs,pcs,35915,95000,100,VAT10,inclusive,,,,NL8501,,,,,
ECO LIP GLOSS 03 CHERRY,8806173419715,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,61454,160000,100,VAT10,inclusive,,,,NL8031,,,,,
SNAIL SOLUTION PEARL HYDRO GEL MASK,8806173424443,code128,Nature Republic,Mask Sheet,pcs,pcs,pcs,39905,105000,100,VAT10,inclusive,,,,NL8510,,,,,
SUPER AQUA MAX WATERY ESSENCE(RR),8806173422395,code128,Nature Republic,Skin Care,pcs,pcs,pcs,126898,328000,100,VAT10,inclusive,,,,NL8300,,,,,
BYFLOWER TRIPLE VOLUME TINT 07 ORCHID PLUM,8806173430031,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,79810,208000,100,VAT10,inclusive,,,,NL9068,,,,,
COLLAGEN DREAM 70 EYE CREAM,8806173425563,code128,Nature Republic,Skin Care,pcs,pcs,pcs,198728,515000,100,VAT10,inclusive,,,,NL8622,,,,,
COLLAGEN DREAM 70 EMULSION,8806173425532,code128,Nature Republic,Skin Care,pcs,pcs,pcs,166804,432000,100,VAT10,inclusive,,,,NL8619,,,,,
BOTANICAL HYPER LINER 02 BROWN,8806173426287,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,79012,205000,100,VAT10,inclusive,,,,NL8694,,,,,
BOTANICAL HYPER LINER 01 BLACK,8806173426270,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,79012,205000,100,VAT10,inclusive,,,,NL8693,,,,,
PROVENCE CREAMY GEL EYELINER 02 BROWN,8806173420858,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,63848,165000,100,VAT10,inclusive,,,,NL8146,,,,,
PROVENCE CREAMY GEL EYELINER 04 GOLDEN KHAKI,8806173420872,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,63848,165000,100,VAT10,inclusive,,,,NL8148,,,,,
PROVENCE CREAMY GEL EYELINER 06 PINK SHIMMER,8806173420896,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,63848,165000,100,VAT10,inclusive,,,,NL8150,,,,,
BY FLOWER HARD EYELINER 02 BROWN,8806173416370,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,47088,122000,100,VAT10,inclusive,,,,NM7696,,,,,
BOTANICAL SKINNY AUTO EYELINER 01 BLACK,8806173416394,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,63050,165000,100,VAT10,inclusive,,,,NM7698,,,,,
BOTANICAL SKINNY AUTO EYELINER 02 BROWN,8806173416400,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,63050,165000,100,VAT10,inclusive,,,,NM7699,,,,,
PROVENCE CREAMY GEL EYELINER 01 BLACK,8806173420841,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,63848,165000,100,VAT10,inclusive,,,,NL8145,,,,,
PROVENCE CREAMY GEL EYELINER 03 CHOCO BROWN,8806173420865,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,63848,165000,100,VAT10,inclusive,,,,NL8147,,,,,
PROVENCE CREAMY GEL EYELINER 05 BURGUNDY,8806173420889,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,63848,165000,100,VAT10,inclusive,,,,NL8149,,,,,
COLLAGEN DREAM 70 CREAM,8806173425556,code128,Nature Republic,Skin Care,pcs,pcs,pcs,198728,515000,100,VAT10,inclusive,,,,NL8621,,,,,
GREENTINOL MULTI TONER,8806173426485,code128,Nature Republic,Skin Care,pcs,pcs,pcs,166804,432000,100,VAT10,inclusive,,,,NL8715,,,,,
GREENTINOL EYE SERUM,8806173426515,code128,Nature Republic,Skin Care,pcs,pcs,pcs,166804,432000,100,VAT10,inclusive,,,,NL8718,,,,,
GREENTINOL CREAM,8806173426508,code128,Nature Republic,Skin Care,pcs,pcs,pcs,198728,515000,100,VAT10,inclusive,,,,NL8717,,,,,
WHITE VITA FIRST ESSENCE,8806173427987,code128,Nature Republic,Skin Care,pcs,pcs,pcs,190747,495000,100,VAT10,inclusive,,,,NL8864,,,,,
WHITE VITA FLORAL MOISTURE CREAM,8806173427383,code128,Nature Republic,Skin Care,pcs,pcs,pcs,190747,495000,100,VAT10,inclusive,,,,NL8804,,,,,
REAL NATURE BAMBOO MASK SHEET ,8806173417032,code128,Nature Republic,Mask Sheet,pcs,pcs,pcs,7591,18000,100,VAT10,inclusive,,,,NM7759,,,,,
AQUA COLLAGEN SOLUTION HYALURONIC ACID HYDRO GEL MASK,8806173424368,code128,Nature Republic,Mask Sheet,pcs,pcs,pcs,35915,95000,100,VAT10,inclusive,,,,NL8502,,,,,
AQUA COLLAGEN SOLUTION MARINE HYDROGEL EYE CREAM MASK,8806173431892,code128,Nature Republic,Mask Sheet,pcs,pcs,pcs,23943,62000,100,VAT10,inclusive,,,,NK0048,,,,,
SNAIL SOLUTION RED GINSENG HYDRO GEL MASK,8806173424436,code128,Nature Republic,Mask Sheet,pcs,pcs,pcs,39905,105000,100,VAT10,inclusive,,,,NL8509,,,,,
ARGAN 20º OIL ESSENCE,8806173425501,code128,Nature Republic,Skin Care,pcs,pcs,pcs,134879,350000,100,VAT10,inclusive,,,,NL8616,,,,,
BOTANICAL SIMPLE MAKING GEL EYELINER 1 BLACK,8806173420803,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,67839,178000,100,VAT10,inclusive,,,,NL8141,,,,,
BOTANICAL EYEBROW COATING CARA 02 LIGHT BROWN,8806173419531,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,51877,135000,100,VAT10,inclusive,,,,NL8013,,,,,
INTENSE TOUCH MASCARA,8806173416264,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NM7685,,,,,
BOTANICAL SIMPLE MAKING GEL EYELINER 2 DARK BROWN,8806173420810,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,67839,178000,100,VAT10,inclusive,,,,NL8142,,,,,
ECO CRYON LIP ROUGE 05 BURGUNDY RED,8806173418985,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,47886,125000,100,VAT10,inclusive,,,,NM7958,,,,,
REAL NATURE SHEA BUTTER MASK SHEET ,8806173417018,code128,Nature Republic,Mask Sheet,pcs,pcs,pcs,7591,18000,100,VAT10,inclusive,,,,NM7757,,,,,
WATERPROOF MIRACLE MASCARA,8806173416288,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NM7687,,,,,
CRYSTAL EYE TINT 02 CRYSTAL CHAMPAGNE,8806173429028,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,71829,188000,100,VAT10,inclusive,,,,NL8969,,,,,
PROVENCE ALL IN ONE DUAL STRETCH MASCARA,8806173426324,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,143659,372000,100,VAT10,inclusive,,,,NL8698,,,,,
ECO CRAYON EYES 04 BROWN,8806173420643,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,47886,125000,100,VAT10,inclusive,,,,NL8129,,,,,
ULTRA MASCARA #2 CURLING,8806173416332,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,47088,122000,100,VAT10,inclusive,,,,NM7692,,,,,
POLYNESIA LAGOON WATER HYDRO EYE CREAM,8806173424597,code128,Nature Republic,Skin Care,pcs,pcs,pcs,86993,225000,100,VAT10,inclusive,,,,NL8525,,,,,
NATURE ORIGIN CC BRIGHTENING SPF30 PA++,8806173421572,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,111734,290000,100,VAT10,inclusive,,,,NL8218,,,,,
GINSENG ROYAL SILK POWDER 01PURE BEIGE SPF26PA+,8806173436026,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,263374,682000,100,VAT10,inclusive,,,,NK0461,,,,,
COCONUT BIO SKIN MASK [MOISTURE],8806173425792,code128,Nature Republic,Mask Sheet,pcs,pcs,pcs,23943,62000,100,VAT10,inclusive,,,,NL8645,,,,,
CRYSTAL EYE TINT 01 WHITE DIA,8806173429011,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,71829,188000,100,VAT10,inclusive,,,,NL8968,,,,,
CRYSTAL EYE TINT 03 PINK PEARLS,8806173429035,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,71829,188000,100,VAT10,inclusive,,,,NL8970,,,,,
SWEET JELLY GLOSS 04 POPPING STRAWBERRY,8806173427123,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,26337,70000,100,VAT10,inclusive,,,,NL8778,,,,,
GINSENG ROYAL SILK MASCARA & FIXER,8806173437405,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,183564,475000,100,VAT10,inclusive,,,,NK0601,,,,,
CRYSTAL EYE TINT 06 MIDNIGHT SAPPHIRE,8806173429066,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,71829,188000,100,VAT10,inclusive,,,,NL8973,,,,,
SWEET JELLY GLOSS 02 SWEET PEACH,8806173427109,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,26337,70000,100,VAT10,inclusive,,,,NL8776,,,,,
MOIST ANGEL LIP BALM 03 ORANGE TINT BALM (R),8806173419876,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,79012,205000,100,VAT10,inclusive,,,,NL8047,,,,,
BOTANICAL EYELASH SERUM,8806173416318,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,143659,372000,100,VAT10,inclusive,,,,NM7690,,,,,
BYFLOWER JEJU JJAMBALM 01TANGERINE HONEY BALM,8806173420155,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,39107,102000,100,VAT10,inclusive,,,,NL8050,,,,,
LONGLASTING SMUDGE TINT STICK 06 LADY PLUM,8806173434725,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,55867,145000,100,VAT10,inclusive,,,,NK0336,,,,,
NATUREREPUBLIC MULTIPLE TOUCH STICK 01 LIGHT BEIGE,8806173434817,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NK0344,,,,,
NATUREREPUBLIC MULTIPLE TOUCH STICK 10 ALMOND,8806173434909,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NK0353,,,,,
CREAMY LIPSTICK 08 BERRY ORANGE(R),8806173422210,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NL8283,,,,,
BOTANICAL CUSHION BLUSHER 01 PINK,8806173434626,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,86993,225000,100,VAT10,inclusive,,,,NK0204,,,,,
GLOW OIL TINT 01JUICY ORANGE,8806173422012,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,70233,182000,100,VAT10,inclusive,,,,NL8263,,,,,
CREAMY LIPSTICK 07 IT'S MY PINK(R),8806173422203,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NL8282,,,,,
CREAMY LIPSTICK 05 CORALPRESSO(R),8806173422180,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NL8280,,,,,
ULTRA MASCARA #1 VOLUME,8806173416325,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,47088,122000,100,VAT10,inclusive,,,,NM7691,,,,,
CREAMY LIPSTICK04SALMON ORANGE(R),8806173422173,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NL8279,,,,,
CREAMY LIPSTICK 02 PINK SOMEDAY(R),8806173422159,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NL8277,,,,,
KISS MY LIP OIL 02 RASPBERRY,8806173430277,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,79012,205000,100,VAT10,inclusive,,,,NL9094,,,,,
BOTANICAL CUSHION BLUSHER 03 HIGHLIGHTER,8806173434640,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,86993,225000,100,VAT10,inclusive,,,,NK0206,,,,,
BOTANICAL WATER PROOF EYELINER 01 BLACK,8806173420728,code128,Nature Republic,Eye Makeup,pcs,pcs,pcs,43896,115000,100,VAT10,inclusive,,,,NL8073,,,,,
CREAMY LIPSTICK 06 FLASHY PINK(R),8806173422197,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NL8281,,,,,
ECO CRYON LIP ROUGE 03 PEACH CORAL,8806173418961,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,47886,125000,100,VAT10,inclusive,,,,NM7956,,,,,
ECO LIP GLOSS 04 PINK,8806173419708,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,61454,160000,100,VAT10,inclusive,,,,NL8030,,,,,
ECO LIP GLOSS 01 LATTE,8806173419739,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,61454,160000,100,VAT10,inclusive,,,,NL8033,,,,,
CREAMY LIPSTICK 11 DRY ROSE,8806173432615,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,95772,248000,100,VAT10,inclusive,,,,NK0114,,,,,
BYFLOWER TRIPLE VOLUME TINT03MARIGOLD,8806173419012,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,79810,208000,100,VAT10,inclusive,,,,NM7961,,,,,
BOTANICAL STICK HIGHLIGHTER 01 SHINE PINK ,8806173433469,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,61454,160000,100,VAT10,inclusive,,,,NK0200,,,,,
PROVENCE MARBLE HIGHLIGHTER 01 BLOOM PEACH,8806173420193,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,134879,350000,100,VAT10,inclusive,,,,NL8069,,,,,
PROVENCE MARBLE HIGHLIGHTER 02 BLOOM WHITE,8806173420209,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,134879,350000,100,VAT10,inclusive,,,,NL8070,,,,,
ECO CRYON LIP ROUGE 02 BERRY PINK,8806173418954,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,47886,125000,100,VAT10,inclusive,,,,NM7955,,,,,
ECO LIP GLOSS 06 RED,8806173419685,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,61454,160000,100,VAT10,inclusive,,,,NL8028,,,,,
ECO LIP GLOSS 02 PEACH,8806173419722,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,61454,160000,100,VAT10,inclusive,,,,NL8032,,,,,
BYFLOWER TRIPLE VOLUME TINT05CAMELLIA,8806173419036,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,79810,208000,100,VAT10,inclusive,,,,NM7963,,,,,
NATURAL BUTTER LIPBALM 04 MANGO,8806173422074,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,55069,145000,100,VAT10,inclusive,,,,NL8269,,,,,
NATURAL BUTTER LIPBALM 02 STRAWBERRY,8806173422050,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,55069,145000,100,VAT10,inclusive,,,,NL8267,,,,,
NATURAL BUTTER LIPBALM 01 CHERRY,8806173422043,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,55069,145000,100,VAT10,inclusive,,,,NL8266,,,,,
GLOW OIL TINT 02 BABY PEACH,8806173422029,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,70233,182000,100,VAT10,inclusive,,,,NL8264,,,,,
ECO CRYON LIP ROUGE 04 SCARLET ORANGE,8806173418978,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,47886,125000,100,VAT10,inclusive,,,,NM7957,,,,,
ECO CRYON LIP ROUGE 01 CANDY PINK,8806173418947,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,47886,125000,100,VAT10,inclusive,,,,NM7954,,,,,
NATURE ORIGIN CC TINTED SPF30 PA++,8806173421596,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,111734,290000,100,VAT10,inclusive,,,,NL8220,,,,,
BOTANICAL GREEN TEA PORE POWDER,8806173421633,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,63848,165000,100,VAT10,inclusive,,,,NL8224,,,,,
BOTANICAL CUSHION BLUSHER 02 APRICOT,8806173434633,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,86993,225000,100,VAT10,inclusive,,,,NK0205,,,,,
HAIR & NATURE COLORING BUBBLE_3B DEEP CHIC BLACK,8806173439423,code128,Nature Republic,Hair Care,pcs,pcs,pcs,71829,188000,100,VAT10,inclusive,,,,NK0801,,,,,
ECO LIP GLOSS 05 ROSE,8806173419692,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,61454,160000,100,VAT10,inclusive,,,,NL8029,,,,,
BYFLOWER TRIPLE VOLUME TINT06ROSE,8806173419043,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,79810,208000,100,VAT10,inclusive,,,,NM7964,,,,,
BYFLOWER TRIPLE VOLUME TINT 04 TULIP,8806173430024,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,79810,208000,100,VAT10,inclusive,,,,NL9067,,,,,
NATURAL BUTTER LIPBALM 03 GRAPEFRUIT,8806173422067,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,55069,145000,100,VAT10,inclusive,,,,NL8268,,,,,
NATURE ORIGIN CC BLUR SPF30 PA++,8806173424337,code128,Nature Republic,Facial Makeup,pcs,pcs,pcs,111734,290000,100,VAT10,inclusive,,,,NL8499,,,,,
GLOW OIL TINT 03 SWEET PINK,8806173422036,code128,Nature Republic,Lip Makeup,pcs,pcs,pcs,70233,182000,100,VAT10,inclusive,,,,NL8265,,,,,
ARGAN ESSENTIAL DEEP CARE HAIR MASK,8806173416745,code128,Nature Republic,Hair Care,pcs,pcs,pcs,27934,75000,100,VAT10,inclusive,,,,NM7730,,,,,
