Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
BYFLOWER TRIPLE VOLUME TINT 05 CAMELLIA,8806173419036,code128,Nature Republic,Lip Makeup,Pcs,Pcs,Pcs,79658,215000,20,VAT10,inclusive,,,,NM7963,,,,,
PROVENCE ALL IN ONE DUAL STRETCH MASCARA,8806173426324,code128,Nature Republic,Eye Makeup,Pcs,Pcs,Pcs,143385,388000,20,VAT10,inclusive,,,,NL8698,,,,,
GINSENG ROYAL SILK MASCARA & FIXER,8806173437405,code128,Nature Republic,Eye Makeup,Pcs,Pcs,Pcs,183213,495000,20,VAT10,inclusive,,,,NK0601,,,,,
NATUREREPUBLIC MULTIPLE TOUCH STICK 10 ALMOND,8806173434909,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,95590,258000,20,VAT10,inclusive,,,,NK0353,,,,,
GLITTER LINER 03 COCKTAIL PINK,8806173433438,code128,Nature Republic,Eye Makeup,Pcs,Pcs,Pcs,55761,152000,20,VAT10,inclusive,,,,NK0197,,,,,
REAL NATURE SHEA BUTTER MASK SHEET ,8806173417018,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,7577,18000,500,VAT10,inclusive,,,,NM7757,,,,,
SNAIL SOLUTION HYDROGEL EYE PATCH,8806173425211,code128,Nature Republic,Patch,Pcs,Pcs,Pcs,23898,65000,50,VAT10,inclusive,,,,NL8587,,,,,
BLACKHEAD CLEAR  NOSE PACK(1EA),8806173424887,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,3983,18000,100,VAT10,inclusive,,,,NL8566,,,,,
SOOTHING & MOISTURE ALOE VERA 80% EMULSION,8806173416219,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,70099,190000,20,VAT10,inclusive,,,,NM7677,,,,,
BEAUTY TOOL PORE CLEASING BRUSH,8806173430673,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,181828,538000,20,VAT10,inclusive,,,,NL9135,,,,,
BEAUTY TOOL COCOON SILK BALL(20EA),8806173432370,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,43770,118000,20,VAT10,inclusive,,,,NK0089,,,,,
CREAMY LIPSTICK 11 DRY ROSE,8806173432615,code128,Nature Republic,Lip Makeup,Pcs,Pcs,Pcs,95590,258000,20,VAT10,inclusive,,,,NK0114,,,,,
BYFLOWER TRIPLE MOUSSE TINT 05 BRICK RED MOUSSE,8806173437061,code128,Nature Republic,Lip Makeup,Pcs,Pcs,Pcs,79658,215000,20,VAT10,inclusive,,,,NK0567,,,,,
BOTANICAL CAKE EYEBROW 01 KHAKI GRAY/DARK BROWN,8806173433445,code128,Nature Republic,Eye Makeup,Pcs,Pcs,Pcs,61337,168000,20,VAT10,inclusive,,,,NK0198,,,,,
SOOTHING & MOISTURE ALOE VERA 92% SOOTHING GEL(TUBE),8806173441990,code128,Nature Republic,Body Care,Pcs,Pcs,Pcs,39033,102000,50,VAT10,inclusive,,,,NJ1062,,,,,
"GINSENG ROYAL SILK POWDER 01PURE BEIGE SPF26,PA+",8806173436026,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,262871,708000,20,VAT10,inclusive,,,,NK0461,,,,,
PROVENCE MARBLE HIGHLIGHTER 01 BLOOM PEACH,8806173420193,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,134622,365000,20,VAT10,inclusive,,,,NL8069,,,,,
SOOTHING & MOISTURE CACTUS 92% SOOTHING GEL,8806173439652,code128,Nature Republic,Body Care,Pcs,Pcs,Pcs,61337,160000,50,VAT10,inclusive,,,,NK0822,,,,,
COCONUT BIO SKIN MASK [REVITAL],8806173425815,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,23898,65000,50,VAT10,inclusive,,,,NL8647,,,,,
BEAUTY TOOL POWDER BRUSH,8806173428434,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,87278,258000,20,VAT10,inclusive,,,,NL8909,,,,,
SOOTHING & MOISTURE ALOE VERA 92% SOOTHING GEL,8806173420337,code128,Nature Republic,Body Care,Pcs,Pcs,Pcs,35050,98000,20,VAT10,inclusive,,,,NL8084,,,,,
REAL NATURE ROYAL JELLY MASK SHEET ,8806173416929,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,7577,18000,500,VAT10,inclusive,,,,NM7748,,,,,
REAL NATURE TOMATO MASK SHEET ,8806173416974,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,7577,18000,500,VAT10,inclusive,,,,NM7753,,,,,
REAL NATURE OLIVE MASK SHEET ,8806173417025,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,7577,18000,500,VAT10,inclusive,,,,NM7758,,,,,
REAL NATURE ORANGE MASK SHEET ,8806173417049,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,7577,18000,500,VAT10,inclusive,,,,NM7760,,,,,
REAL NATURE ROSE MASK SHEET ,8806173417063,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,7577,18000,500,VAT10,inclusive,,,,NM7762,,,,,
REAL NATURE TEA TREE MASK SHEET ,8806173417100,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,7577,18000,500,VAT10,inclusive,,,,NM7766,,,,,
REAL SQUEEZE ALOE VERA EMULSION,8806173424160,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,118691,320000,20,VAT10,inclusive,,,,NL8484,,,,,
ECO LIPGLOSS 01LATTE,8806173419739,code128,Nature Republic,Lip Makeup,Pcs,Pcs,Pcs,61337,168000,20,VAT10,inclusive,,,,NL8033,,,,,
BEAUTY TOOL SPRAY TYPE CONTAINER,8806173432776,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,15932,45000,20,VAT10,inclusive,,,,NK0131,,,,,
PURE SHINE JELLY FIT TINT 01 THE HOT PINK,8806173432912,code128,Nature Republic,Lip Makeup,Pcs,Pcs,Pcs,46999,128000,20,VAT10,inclusive,,,,NK0146,,,,,
PURE SHINE JELLY FIT TINT 03 PLUMPING BERRY,8806173432936,code128,Nature Republic,Lip Makeup,Pcs,Pcs,Pcs,46999,128000,20,VAT10,inclusive,,,,NK0148,,,,,
ARGAN ESSENTIAL DEEP CARE HAIR ESSENCE,8806173420308,code128,Nature Republic,Hair Care,Pcs,Pcs,Pcs,59744,162000,20,VAT10,inclusive,,,,NL8077,,,,,
SUPER AQUA MAX WATERY TONER (RR),8806173422371,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,110725,300000,20,VAT10,inclusive,,,,NL8298,,,,,
SUPER AQUA MAX WATERY ESSENCE(RR),8806173422395,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,126656,342000,20,VAT10,inclusive,,,,NL8300,,,,,
