Product Code,Unit Cost, Quantity,Product Variant, Expiry
8806173423347,55761,12,,8/31/2019
8806173422050,54964,14,,8/31/2019
8806173420322,55761,19,,8/31/2019
8806173416363,46999,12,,8/31/2019
8806173439652,61337,120,,8/31/2019
8806173425815,23898,80,,8/31/2019
8806173425143,23898,12,,8/31/2019
8806173428397,15932,8,,8/31/2019
8806173428427,71693,6,,8/31/2019
8806173428434,87278,4,,8/31/2019
8806173430659,35847,12,,8/31/2019
8806173430680,71693,8,,8/31/2019
8806173432769,14339,12,,8/31/2019
8806173434039,23898,12,,8/31/2019
8806173434046,39829,12,,8/31/2019
8806173433841,23898,12,,8/31/2019
8806173433711,23898,12,,8/31/2019
8806173434084,19915,12,,8/31/2019
8806173435166,35847,12,,8/31/2019
8806173433834,78862,12,,8/31/2019
8806173433858,11949,12,,8/31/2019
