Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
FRESH DEODRANT STICK - COTTON ,8.80617E+12,code128,Nature Republic,Body Care,Pcs,Pcs,Pcs,61337,170000,20,VAT10,inclusive,,,,NK0170,,,,,
PURE SHINE LIPSTICK 03 JULIET ROSE,8.80617E+12,code128,Nature Republic,Lip Makeup,Pcs,Pcs,Pcs,70099,190000,20,VAT10,inclusive,,,,NK0179,,,,,
SNAIL SOLUTION SKIN BOOSTER (C),8.80617E+12,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,199145,538000,20,VAT10,inclusive,,,,NK0227,,,,,
COLLAGEN DREAM 50 ALL IN ONE RADIANCE TONE UP CREAM SPF35PA++,8.80617E+12,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,214280,555000,20,VAT10,inclusive,,,,NK0513,,,,,
BOTANICAL GREEN TEA PORE STICK,8.80617E+12,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,62930,170000,20,VAT10,inclusive,,,,NJ0886,,,,,
BAMBOO CHARCOAL NOSE & T-ZONE PACK,8.80617E+12,code128,Nature Republic,Pack,Pcs,Pcs,Pcs,78862,215000,100,VAT10,inclusive,,,,NM7859,,,,,
SOOTHING & MOISTURE ALOE VERA 92% SOOTHING GEL MIST,8.80617E+12,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,43812,118000,20,VAT10,inclusive,,,,NM7468,,,,,
HERB BLENDING MIST,8.80617E+12,code128,Nature Republic,Mist,Pcs,Pcs,Pcs,86828,235000,20,VAT10,inclusive,,,,NK0763,,,,,
GINSENG ROYAL SILK AMPOULE,8.80617E+12,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,955894,2575000,20,VAT10,inclusive,,,,NK0011,,,,,
REAL NATURE ALOE HYDROGEL MASK ,8.80617E+12,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,15543,42000,100,VAT10,inclusive,,,,NK0573,,,,,
REAL NATURE GRAPEFRUIT HYDROGEL MASK ,8.80617E+12,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,15543,42000,50,VAT10,inclusive,,,,NK0577,,,,,
REAL NATURE MANUKA HONEY HYDROGEL MASK ,8.80617E+12,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,15543,42000,50,VAT10,inclusive,,,,NK0581,,,,,
COCONUT BIO SKIN MASK [PORE CARE],8.80617E+12,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,23898,65000,50,VAT10,inclusive,,,,NL8646,,,,,
GINSENG ROYAL SILK ESSENCE,8.80617E+12,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,438118,1180000,20,VAT10,inclusive,,,,NL8089,,,,,
GREEN DERMA MILD PEELING GEL,8.80617E+12,code128,Nature Republic,Peeling,Pcs,Pcs,Pcs,102759,278000,20,VAT10,inclusive,,,,NL8949,,,,,
